Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
23-05-2024,Airport,Arrival,23142,8646,16011,47799
23-05-2024,Airport,Departure,30388,5849,12118,48355
24-05-2024,Airport,Arrival,28826,10039,17565,56430
24-05-2024,Airport,Departure,34926,7115,13287,55328
25-05-2024,Airport,Arrival,29868,8790,17356,56014
25-05-2024,Airport,Departure,31987,7090,15130,54207
26-05-2024,Airport,Arrival,37690,8725,15843,62258
26-05-2024,Airport,Departure,30678,9114,20152,59944
27-05-2024,Airport,Arrival,31815,8848,16056,56719
27-05-2024,Airport,Departure,29286,7507,16110,52903
28-05-2024,Airport,Arrival,28133,7095,12715,47943
28-05-2024,Airport,Departure,24871,6343,14226,45440
29-05-2024,Airport,Arrival,26791,6925,13271,46987
29-05-2024,Airport,Departure,25663,6060,13228,44951
30-05-2024,Airport,Arrival,25423,7842,14043,47308
30-05-2024,Airport,Departure,28364,6134,15303,49801
31-05-2024,Airport,Arrival,28825,9582,16385,54792
31-05-2024,Airport,Departure,32398,6897,15115,54410
1/6/2024,Airport,Arrival,28534,7760,17986,54280
1/6/2024,Airport,Departure,32486,6484,14357,53327
2/6/2024,Airport,Arrival,38370,7788,14218,60376
2/6/2024,Airport,Departure,28049,9886,18038,55973
3/6/2024,Airport,Arrival,30535,7388,13857,51780
3/6/2024,Airport,Departure,26873,6974,16855,50702
4/6/2024,Airport,Arrival,26321,6165,11615,44101
4/6/2024,Airport,Departure,23778,5717,13429,42924
5/6/2024,Airport,Arrival,24625,6934,14784,46343
5/6/2024,Airport,Departure,29277,6192,12460,47929
6/6/2024,Airport,Arrival,24393,8383,18006,50782
6/6/2024,Airport,Departure,36905,7327,12246,56478
7/6/2024,Airport,Arrival,25621,12017,18802,56440
7/6/2024,Airport,Departure,47451,8160,12338,67949
8/6/2024,Airport,Arrival,27577,11963,19996,59536
8/6/2024,Airport,Departure,42180,7645,14708,64533
9/6/2024,Airport,Arrival,32291,7891,13514,53696
9/6/2024,Airport,Departure,29885,7792,19369,57046
10/6/2024,Airport,Arrival,52062,9185,12798,74045
10/6/2024,Airport,Departure,26297,10783,20146,57226
11/6/2024,Airport,Arrival,38029,10109,13613,61751
11/6/2024,Airport,Departure,26338,8317,14171,48826
12/6/2024,Airport,Arrival,31631,9508,15679,56818
12/6/2024,Airport,Departure,27020,6279,12696,45995
13-06-2024,Airport,Arrival,25933,8503,16331,50767
13-06-2024,Airport,Departure,29720,6190,11873,47783
14-06-2024,Airport,Arrival,27505,10579,19037,57121
14-06-2024,Airport,Departure,36007,7447,13517,56971
15-06-2024,Airport,Arrival,30219,9748,18686,58653
15-06-2024,Airport,Departure,33081,7085,14656,54822
16-06-2024,Airport,Arrival,39182,9351,16049,64582
16-06-2024,Airport,Departure,29917,8940,18477,57334
17-06-2024,Airport,Arrival,29479,9686,16036,55201
17-06-2024,Airport,Departure,30113,8999,18175,57287
18-06-2024,Airport,Arrival,33890,8612,15262,57764
18-06-2024,Airport,Departure,27450,7183,16064,50697
19-06-2024,Airport,Arrival,26715,9326,16730,52771
19-06-2024,Airport,Departure,30212,6603,14266,51081
20-06-2024,Airport,Arrival,26162,8907,16659,51728
20-06-2024,Airport,Departure,34145,7079,13878,55102
21-06-2024,Airport,Arrival,29651,9713,18095,57459
21-06-2024,Airport,Departure,38637,8164,15385,62186
22-06-2024,Airport,Arrival,30719,10055,17525,58299
22-06-2024,Airport,Departure,35059,7733,16086,58878
23-06-2024,Airport,Arrival,39249,9611,15636,64496
23-06-2024,Airport,Departure,31952,9009,20508,61469
24-06-2024,Airport,Arrival,34946,10523,16595,62064
24-06-2024,Airport,Departure,31393,7822,17782,56997
25-06-2024,Airport,Arrival,30831,9312,14458,54601
25-06-2024,Airport,Departure,31189,7839,15332,54360
26-06-2024,Airport,Arrival,29555,9926,14788,54269
26-06-2024,Airport,Departure,35440,7479,15278,58197
27-06-2024,Airport,Arrival,29098,10271,15717,55086
27-06-2024,Airport,Departure,44686,6837,14544,66067
28-06-2024,Airport,Arrival,31807,10836,17168,59811
28-06-2024,Airport,Departure,53422,6775,13518,73715
29-06-2024,Airport,Arrival,34015,10749,17557,62321
29-06-2024,Airport,Departure,50763,6773,15107,72643
30-06-2024,Airport,Arrival,40289,10224,13847,64360
30-06-2024,Airport,Departure,38106,9741,19469,67316
1/7/2024,Airport,Arrival,53350,7086,12873,73309
1/7/2024,Airport,Departure,32099,8142,15627,55868
2/7/2024,Airport,Arrival,44005,8322,12536,64863
2/7/2024,Airport,Departure,30306,8043,13808,52157
3/7/2024,Airport,Arrival,35825,9617,14583,60025
3/7/2024,Airport,Departure,29140,8518,13328,50986
4/7/2024,Airport,Arrival,30936,9651,15692,56279
4/7/2024,Airport,Departure,31790,8371,12826,52987
5/7/2024,Airport,Arrival,30058,10634,16845,57537
5/7/2024,Airport,Departure,35143,9772,14328,59243
6/7/2024,Airport,Arrival,33394,10043,14973,58410
6/7/2024,Airport,Departure,32411,10782,14688,57881
7/7/2024,Airport,Arrival,41160,9656,13525,64341
7/7/2024,Airport,Departure,29537,12416,18461,60414
8/7/2024,Airport,Arrival,34875,10936,14208,60019
8/7/2024,Airport,Departure,28156,10700,15072,53928
9/7/2024,Airport,Arrival,30765,9958,12626,53349
9/7/2024,Airport,Departure,26097,9947,13643,49687
10/7/2024,Airport,Arrival,27925,10603,13425,51953
10/7/2024,Airport,Departure,30433,10317,13501,54251
11/7/2024,Airport,Arrival,27706,10861,14742,53309
11/7/2024,Airport,Departure,34643,10965,13226,58834
12/7/2024,Airport,Arrival,27689,11347,16383,55419
12/7/2024,Airport,Departure,43505,11517,13066,68088
13-07-2024,Airport,Arrival,30073,11406,15893,57372
13-07-2024,Airport,Departure,39488,11960,13204,64652
14-07-2024,Airport,Arrival,37443,11718,12813,61974
14-07-2024,Airport,Departure,34995,13772,17656,66423
15-07-2024,Airport,Arrival,35175,12743,14170,62088
15-07-2024,Airport,Departure,33172,11895,16865,61932
16-07-2024,Airport,Arrival,30429,11251,12542,54222
16-07-2024,Airport,Departure,33538,10976,13111,57625
17-07-2024,Airport,Arrival,27993,11221,12863,52077
17-07-2024,Airport,Departure,38183,10041,12932,61156
18-07-2024,Airport,Arrival,28305,12001,14415,54721
18-07-2024,Airport,Departure,42215,10031,12301,64547
19-07-2024,Airport,Arrival,30312,12237,15901,58450
19-07-2024,Airport,Departure,45492,11093,13285,69870
20-07-2024,Airport,Arrival,34294,12051,16348,62693
20-07-2024,Airport,Departure,43380,11253,13065,67698
21-07-2024,Airport,Arrival,43258,12309,13247,68814
21-07-2024,Airport,Departure,40844,12756,17752,71352
22-07-2024,Airport,Arrival,38294,12864,14239,65397
22-07-2024,Airport,Departure,38547,10485,16624,65656
23-07-2024,Airport,Arrival,36026,11636,12314,59976
23-07-2024,Airport,Departure,33790,10465,13887,58142
24-07-2024,Airport,Arrival,33040,11930,13879,58849
24-07-2024,Airport,Departure,36106,9904,12429,58439
25-07-2024,Airport,Arrival,32054,12356,13836,58246
25-07-2024,Airport,Departure,39715,10690,13915,64320
26-07-2024,Airport,Arrival,36350,12991,17271,66612
26-07-2024,Airport,Departure,44448,11194,14865,70507
27-07-2024,Airport,Arrival,36768,11892,17901,66561
27-07-2024,Airport,Departure,42651,11373,14873,68897
28-07-2024,Airport,Arrival,46007,12669,13854,72530
28-07-2024,Airport,Departure,37227,12758,18521,68506
29-07-2024,Airport,Arrival,43546,13394,13660,70600
29-07-2024,Airport,Departure,34586,11144,18565,64295
30-07-2024,Airport,Arrival,38571,11390,11588,61549
30-07-2024,Airport,Departure,31492,10969,15916,58377
31-07-2024,Airport,Arrival,39416,12445,12230,64091
31-07-2024,Airport,Departure,35438,10274,15022,60734
1/8/2024,Airport,Arrival,35765,13712,14735,64212
1/8/2024,Airport,Departure,42705,10081,12472,65258
2/8/2024,Airport,Arrival,36080,14551,15016,65647
2/8/2024,Airport,Departure,43151,11405,12960,67516
3/8/2024,Airport,Arrival,38386,13511,14651,66548
3/8/2024,Airport,Departure,40025,11219,14019,65263
4/8/2024,Airport,Arrival,45842,12455,12235,70532
4/8/2024,Airport,Departure,35848,13642,17845,67335
5/8/2024,Airport,Arrival,42013,14184,13246,69443
5/8/2024,Airport,Departure,35014,13750,13887,62651
6/8/2024,Airport,Arrival,40504,13073,12231,65808
6/8/2024,Airport,Departure,31268,12372,13186,56826
7/8/2024,Airport,Arrival,37427,12974,13182,63583
7/8/2024,Airport,Departure,33311,12081,12604,57996
8/8/2024,Airport,Arrival,34935,13308,15496,63739
8/8/2024,Airport,Departure,37595,11766,11894,61255
9/8/2024,Airport,Arrival,39165,13711,17205,70081
9/8/2024,Airport,Departure,41340,12494,12608,66442
10/8/2024,Airport,Arrival,40509,13324,16668,70501
10/8/2024,Airport,Departure,36090,12066,13695,61851
11/8/2024,Airport,Arrival,50068,12421,13792,76281
11/8/2024,Airport,Departure,32210,14352,18771,65333
12/8/2024,Airport,Arrival,44612,14503,14246,73361
12/8/2024,Airport,Departure,30329,12237,17806,60372
13-08-2024,Airport,Arrival,40743,12548,13498,66789
13-08-2024,Airport,Departure,27508,12047,14776,54331
14-08-2024,Airport,Arrival,35690,13064,15610,64364
14-08-2024,Airport,Departure,30971,11579,13806,56356
15-08-2024,Airport,Arrival,32147,13106,17000,62253
15-08-2024,Airport,Departure,34458,12037,13618,60113
16-08-2024,Airport,Arrival,34495,14826,17570,66891
16-08-2024,Airport,Departure,36126,12150,13888,62164
17-08-2024,Airport,Arrival,34167,13899,14742,62808
17-08-2024,Airport,Departure,34830,11504,16968,63302
18-08-2024,Airport,Arrival,46583,13312,13559,73454
18-08-2024,Airport,Departure,33266,13134,20539,66939
19-08-2024,Airport,Arrival,38805,14061,14349,67215
19-08-2024,Airport,Departure,32805,12364,15835,61004
20-08-2024,Airport,Arrival,35641,13203,12577,61421
20-08-2024,Airport,Departure,30129,11208,13972,55309
21-08-2024,Airport,Arrival,33539,14028,13831,61398
21-08-2024,Airport,Departure,33878,11212,13663,58753
22-08-2024,Airport,Arrival,30304,14305,15045,59654
22-08-2024,Airport,Departure,37028,10588,12436,60052
23-08-2024,Airport,Arrival,32825,15750,17843,66418
23-08-2024,Airport,Departure,41459,11592,12674,65725
24-08-2024,Airport,Arrival,36205,13730,16297,66232
24-08-2024,Airport,Departure,37403,12049,14087,63539
25-08-2024,Airport,Arrival,47430,12950,14149,74529
25-08-2024,Airport,Departure,34015,13747,19109,66871
26-08-2024,Airport,Arrival,44043,12953,13889,70885
26-08-2024,Airport,Departure,31658,11711,17576,60945
27-08-2024,Airport,Arrival,37558,11166,11979,60703
27-08-2024,Airport,Departure,27316,10554,14347,52217
28-08-2024,Airport,Arrival,37173,10979,12566,60718
28-08-2024,Airport,Departure,28310,10186,13741,52237
29-08-2024,Airport,Arrival,35926,10132,13420,59478
29-08-2024,Airport,Departure,27523,9579,12893,49995
30-08-2024,Airport,Arrival,37168,9210,15189,61567
30-08-2024,Airport,Departure,30545,10657,12220,53422
31-08-2024,Airport,Arrival,40475,7715,13956,62146
31-08-2024,Airport,Departure,28124,8830,13241,50195
1/9/2024,Airport,Arrival,44473,7745,13568,65786
1/9/2024,Airport,Departure,28208,9640,16087,53935
2/9/2024,Airport,Arrival,30025,8628,15950,54603
2/9/2024,Airport,Departure,24742,7236,12314,44292
3/9/2024,Airport,Arrival,22543,7875,16292,46710
3/9/2024,Airport,Departure,22950,6631,11877,41458
4/9/2024,Airport,Arrival,20617,6674,13345,40636
4/9/2024,Airport,Departure,24866,6517,11795,43178
5/9/2024,Airport,Arrival,18108,6732,12724,37564
5/9/2024,Airport,Departure,28218,6974,12541,47733
6/9/2024,Airport,Arrival,19831,5871,12957,38659
